textual_unit,conceptual_item,use_number
https://www.foom.com/core#definition__1,https://www.foom.com/core#concept__point,1
https://www.foom.com/core#definition__10,https://www.foom.com/core#concept__perpendicular_straight_lines,1
https://www.foom.com/core#definition__10,https://www.foom.com/core#concept__right_angle,1
https://www.foom.com/core#definition__11,https://www.foom.com/core#concept__obtuse_angle,1
https://www.foom.com/core#definition__12,https://www.foom.com/core#concept__acute_angle,1
https://www.foom.com/core#definition__13,https://www.foom.com/core#concept__boundary,1
https://www.foom.com/core#definition__14,https://www.foom.com/core#concept__figure,1
https://www.foom.com/core#definition__15,https://www.foom.com/core#concept__circle,1
https://www.foom.com/core#definition__16,https://www.foom.com/core#concept__center,1
https://www.foom.com/core#definition__17,https://www.foom.com/core#concept__diameter,1
https://www.foom.com/core#definition__18,https://www.foom.com/core#concept__semicircle,1
https://www.foom.com/core#definition__19,https://www.foom.com/core#concept__multilateral_rectilinear_figure,1
https://www.foom.com/core#definition__19,https://www.foom.com/core#concept__trilateral,1
https://www.foom.com/core#definition__19,https://www.foom.com/core#concept__rectilinear_figure,1
https://www.foom.com/core#definition__19,https://www.foom.com/core#concept__quadrilateral_rectilinear_figure,1
https://www.foom.com/core#definition__2,https://www.foom.com/core#concept__line,1
https://www.foom.com/core#definition__20,https://www.foom.com/core#concept__equilateral_triangle,1
https://www.foom.com/core#definition__20,https://www.foom.com/core#concept__scalene_triangle,1
https://www.foom.com/core#definition__20,https://www.foom.com/core#concept__isosceles_triangle,1
https://www.foom.com/core#definition__21,https://www.foom.com/core#concept__acute_triangle,1
https://www.foom.com/core#definition__21,https://www.foom.com/core#concept__right_triangle,1
https://www.foom.com/core#definition__21,https://www.foom.com/core#concept__obtuse_triangle,1
https://www.foom.com/core#definition__22,https://www.foom.com/core#concept__quadrilateral_igure,1
https://www.foom.com/core#definition__22,https://www.foom.com/core#concept__trapezoid_quadrilateral_figure,1
https://www.foom.com/core#definition__22,https://www.foom.com/core#concept__square,1
https://www.foom.com/core#definition__22,https://www.foom.com/core#concept__rhomboid,1
https://www.foom.com/core#definition__22,https://www.foom.com/core#concept__rectangular,1
https://www.foom.com/core#definition__23,https://www.foom.com/core#concept__parallel_lines,1
https://www.foom.com/core#definition__3,https://www.foom.com/core#concept__end_of_line,1
https://www.foom.com/core#definition__4,https://www.foom.com/core#concept__straight_line,1
https://www.foom.com/core#definition__5,https://www.foom.com/core#concept__surface,1
https://www.foom.com/core#definition__6,https://www.foom.com/core#concept__end_of_surface,1
https://www.foom.com/core#definition__7,https://www.foom.com/core#concept__plane_surface,1
https://www.foom.com/core#definition__8,https://www.foom.com/core#concept__plane_angle,1
https://www.foom.com/core#definition__9,https://www.foom.com/core#concept__rectilinear_angle,1
https://www.foom.com/core#postulate_1,https://www.foom.com/core#concept__finite_straight_line,2
https://www.foom.com/core#postulate_1,https://www.foom.com/core#concept__point,2
https://www.foom.com/core#postulate_1,https://www.foom.com/core#concept__join,2
https://www.foom.com/core#postulate_1,https://www.foom.com/core#set__finite_straight_line,2
https://www.foom.com/core#postulate_1,https://www.foom.com/core#operation__join_point__point___finite_straight_line,1
https://www.foom.com/core#postulate_1,https://www.foom.com/core#set__point_point,1
https://www.foom.com/core#postulate_1,https://www.foom.com/core#operation_type__join_point__point___finite_straight_line,1
https://www.foom.com/core#postulate_1,https://www.foom.com/core#set__point__point,1
https://www.foom.com/core#postulate_2,https://www.foom.com/core#set__finite_straight_line,4
https://www.foom.com/core#postulate_2,https://www.foom.com/core#concept__finite_straight_line,2
https://www.foom.com/core#postulate_2,https://www.foom.com/core#concept__produce,2
https://www.foom.com/core#postulate_2,https://www.foom.com/core#operation__produce_finite_straight_line___straight_line,1
https://www.foom.com/core#postulate_2,https://www.foom.com/core#operation_type__produce_finite_straight_line___finite_straight_line,1
https://www.foom.com/core#postulate_3,https://www.foom.com/core#concept__center,2
https://www.foom.com/core#postulate_3,https://www.foom.com/core#concept__interval,2
https://www.foom.com/core#postulate_3,https://www.foom.com/core#concept__draw,2
https://www.foom.com/core#postulate_3,https://www.foom.com/core#concept__circle,2
https://www.foom.com/core#postulate_3,https://www.foom.com/core#set__circle,2
https://www.foom.com/core#postulate_3,https://www.foom.com/core#operation__draw_center__interval___circle,1
https://www.foom.com/core#postulate_3,https://www.foom.com/core#set__center__interval,1
https://www.foom.com/core#postulate_3,https://www.foom.com/core#operation_type__draw_point__interval___circle,1
https://www.foom.com/core#postulate_3,https://www.foom.com/core#set__center_interval,1
https://www.foom.com/core#postulate_4,https://www.foom.com/core#concept__equals,2
https://www.foom.com/core#postulate_4,https://www.foom.com/core#relation_instance__equals_right_angle__right_angle_,1
https://www.foom.com/core#postulate_4,https://www.foom.com/core#concept__right_angle,1
https://www.foom.com/core#postulate_4,https://www.foom.com/core#relation_type__equals_magnitude__magnitude_,1
https://www.foom.com/core#postulate_4,https://www.foom.com/core#concept__magnitude,1
https://www.foom.com/core#postulate_5,https://www.foom.com/core#concept__inclination_of_interior_angle,2
https://www.foom.com/core#postulate_5,https://www.foom.com/core#concept__sum,2
https://www.foom.com/core#postulate_5,https://www.foom.com/core#concept__is_less_than,2
https://www.foom.com/core#postulate_5,https://www.foom.com/core#concept__magnitude,2
https://www.foom.com/core#postulate_5,https://www.foom.com/core#operation__sum_inclination_of_interior_angle__inclination_of_interior_angle___inclination_of_interior_angle,1
https://www.foom.com/core#postulate_5,https://www.foom.com/core#relation_instance__is_less_than_sum_inclination_of_interior_angle__inclination_of_interior_angle___sum_inclination_of_right_angle__inclination_of_right_angle__,1
https://www.foom.com/core#postulate_5,https://www.foom.com/core#set__inclination_of_interior_angle,1
https://www.foom.com/core#postulate_5,https://www.foom.com/core#set__inclination_of_interior_angle__inclination_of_interior_angle,1
https://www.foom.com/core#postulate_5,https://www.foom.com/core#operation_type__sum_magnitude__magnitude___magnitude,1
https://www.foom.com/core#postulate_5,https://www.foom.com/core#relation_type__is_less_than_magnitude__magnitude_,1
https://www.foom.com/core#postulate_5,https://www.foom.com/core#set__magnitude,1
https://www.foom.com/core#postulate_5,https://www.foom.com/core#set__magnitude__magnitude,1
https://www.foom.com/core#common_notion_1,https://www.foom.com/core#concept___thing,2
https://www.foom.com/core#common_notion_1,https://www.foom.com/core#concept__equals,2
https://www.foom.com/core#common_notion_1,https://www.foom.com/core#statement__equals_x__z____equals_y__z___equals_x__y_,1
https://www.foom.com/core#common_notion_1,https://www.foom.com/core#relation_instance__equals_x__y_,1
https://www.foom.com/core#common_notion_1,https://www.foom.com/core#relation_type__equals_x__y_,1
https://www.foom.com/core#common_notion_2,https://www.foom.com/core#concept__sum,2
https://www.foom.com/core#common_notion_2,https://www.foom.com/core#concept___thing,2
https://www.foom.com/core#common_notion_2,https://www.foom.com/core#concept__equals,2
https://www.foom.com/core#common_notion_2,https://www.foom.com/core#set__magnitude,2
https://www.foom.com/core#common_notion_2,https://www.foom.com/core#set__magnitude__magnitude,2
https://www.foom.com/core#common_notion_2,https://www.foom.com/core#statement___equals_x__y____equals_v__w____equals_sum_x__v___sum_y__w__,1
https://www.foom.com/core#common_notion_2,https://www.foom.com/core#operation_instance__sum_magnitude__magnitude___magnitude,1
https://www.foom.com/core#common_notion_2,https://www.foom.com/core#relation_instance__equals_x__y_,1
https://www.foom.com/core#common_notion_2,https://www.foom.com/core#concept___magnitude,1
https://www.foom.com/core#common_notion_2,https://www.foom.com/core#operation_type__sum_magnitude__magnitude___magnitude,1
https://www.foom.com/core#common_notion_2,https://www.foom.com/core#relation_type__equals_x__y_,1
https://www.foom.com/core#common_notion_2,https://www.foom.com/core#concept__magnitude,1
https://www.foom.com/core#common_notion_3,https://www.foom.com/core#concept___thing,2
https://www.foom.com/core#common_notion_3,https://www.foom.com/core#concept__equals,2
https://www.foom.com/core#common_notion_3,https://www.foom.com/core#set__magnitude,2
https://www.foom.com/core#common_notion_3,https://www.foom.com/core#set__magnitude__magnitude,2
https://www.foom.com/core#common_notion_3,https://www.foom.com/core#statement___equals_x__y____equals_v__w____equals_subtract_x__v___subtract_y__w__,1
https://www.foom.com/core#common_notion_3,https://www.foom.com/core#operation_instance__subtract_magnitude__magnitude___magnitude,1
https://www.foom.com/core#common_notion_3,https://www.foom.com/core#relation_instance__equals_x__y_,1
https://www.foom.com/core#common_notion_3,https://www.foom.com/core#concept___magnitude,1
https://www.foom.com/core#common_notion_3,https://www.foom.com/core#concept__sum,1
https://www.foom.com/core#common_notion_3,https://www.foom.com/core#operation_type__subtract_magnitude__magnitude___magnitude,1
