concepts,hierarchy,conceptual_components,equivalent_to,opposite_to,type,datatype_property,notes
absurd,abstract_object,,,,object,is_an_abstract_object,
angle,diagrammatic_object,,,,object,is_a_diagrammatic_object,
angle_of_parallelogram,angle,parallelogram,,,object,is_a_diagrammatic_object,
apply,,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
apply_in,apply,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
apply_to,apply,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
are_alternate,,,,,relation,has_field_of_diagrammatic_objects,
are_consecutive,,,,,relation,has_field_of_diagrammatic_objects,
are_in_a_straight_line,,straight_line,,,relation,has_field_of_diagrammatic_objects,
are_in_the_same_parallels,is_located,parallel_lines,,,relation,has_field_of_diagrammatic_objects,
are_not_on_the_same_part,is_located,part,,,relation,has_field_of_diagrammatic_objects,
are_parallel,,parallel_lines,,,relation,has_field_of_diagrammatic_objects,
are_perpendicular,,perpendicular_lines,,,relation,has_field_of_diagrammatic_objects,
are_placed_about,is_located,,,,relation,has_field_of_diagrammatic_objects,
are_same,,,,,relation,has_field_of_objects,
at_base,is_located,base,,,relation,has_field_of_diagrammatic_objects,
base,finite_straight_line,,,,object,is_a_diagrammatic_object,
base_of_parallelogram,base,parallelogram,,,object,is_a_diagrammatic_object,
base_of_triangle,base,triangle,,,object,is_a_diagrammatic_object,
base_of_triangle,side_of_triangle,triangle,,,object,is_a_diagrammatic_object,
carry_over,,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
carry_over_parallel_to,carry_over,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
carry_over_to,carry_over,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
center,point,,,,object,is_a_diagrammatic_object,
choose_at_random,,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",modifies the diagram and produces a new diagrammatic object because it changes the drawing (the diagram is a concrete drawing)
circle,figure,,,,object,is_a_diagrammatic_object,
complement,part,,,,object,is_a_diagrammatic_object,
complement_of_parallelogram,complement,parallelogram,,,object,is_a_diagrammatic_object,
conduct,,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
conduct_parallel,conduct,parallel_lines,describe_parallel,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
conduct_parallel_to,conduct,parallel_lines,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
conduct_to,conduct,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
construct,,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
construct_from,construct,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
construct_in,construct,,,,relation,has_field_of_diagrammatic_objects,
construct_inside,construct,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
construct_on,construct,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
construct_to_given_point,construct,point,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
corresponding,,,,,relation,has_field_of_diagrammatic_objects,
cut,,,,,relation,has_field_of_diagrammatic_objects,
cut_into_two_halves,cut_operation,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
cut_into_two_halves,cut,,,,relation,has_field_of_diagrammatic_objects,
cut_operation,,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",modifies the diagram and produces a new diagrammatic object because it changes the drawing (the diagram is a concrete drawing)
describe,,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
describe_on,describe,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
describe_parallel,describe,parallel_lines,conduct_parallel,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
deviates,,,,,relation,has_field_of_diagrammatic_objects,
diagrammatic_object,object,,,,object,is_a_diagrammatic_object,
diameter,finite_straight_line,,,,object,is_a_diagrammatic_object,
diameter_of_parallelogram,diameter,parallelogram,,,object,is_a_diagrammatic_object,
disjunction,abstract_object,,,,object,is_an_abstract_object,
distinct,,,unequal,,relation,has_field_of_diagrammatic_objects,
draw,,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
encompassing,,,,,relation,has_field_of_diagrammatic_objects,related to subtended_by
end_of_side_of_triangle,end_of_line,side_of_triangle,,,object,is_a_diagrammatic_object,
equal_length,length,,,,object,is_an_abstract_object,
equals,,,,unequal,relation,has_field_of_objects,
equilateral_triangle,triangle,,,,object,is_a_diagrammatic_object,
extend,,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
extend_straight,extend,straight_line,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
exterior_angle,angle,,,,object,is_a_diagrammatic_object,
fall_on,,,,,operation,has_domain_of_diagrammatic_objects,
falls_on,is_located,,,,relation,has_field_of_diagrammatic_objects,
figure,diagrammatic_object,,,,object,is_a_diagrammatic_object,
finite,,,,infinite,relation,has_field_of_diagrammatic_objects,
finite_according_to,finite,,,,relation,has_field_of_diagrammatic_objects,
