proposition,proposition_type,proposition_concepts,implication,implication_concepts,given_concepts,implicit_given_concepts,requirement,relation_instance,implicit_relations,implicit_operation_in_relation,operation_instance,implicit_operations,gist,moral,notes
Proposition_1,construction,"finite_straight_line, is_placed_on, equilateral_triangle, construct_on",,,finite_straight_line,,,,,,"construct_on(equilateteral_triangle, finite_straight_line)->equilateral_triangle",,construction of equilateral triangles via intersecting circles,existence of triangles,
Proposition_2,construction,"point, finite_straight_line, is_placed_on, place_on, equals",,,"point, finite_straight_line",,,,,,"place_on(finite_straight_line, point, finite_straight_line)->finite_staight_line",,movement of finite straight line via construction of circles,rigid movement is possible,
Proposition_2,,,,,,,,"equals(finite_straight_line, finite_straight_line)",,,,length_of(finite_straight_line)->length,,,
Proposition_3,construction,"point, finite_straight_line, unequal, greater_than, smaller_than, unequal, subtract",,,"point, finite_straight_line","unequal_lengths, length",,"greater_than(finite_straight_line, finite_straight_line)",,,,length_of(finite_straight_line)->length,subtraction of lengths via construction with circles,subtraction of lengths,
Proposition_3,,,,,,,,"smaller_than(finite_straight_line, finite_straight_line)",,,,,,,
Proposition_3,,,,,,,,"unequal(finite_straight_line, finite_straight_line)","unequal(length_of(finite_straight_line), lenght_of(finite_straight_line))",,"subtract(finite_straight_line, finite_straight_line)->finite_straight_line","subtract(length_of(finite_straight_line), length_of(finite_straight_line))->finite_straight_line",,,
Proposition_4,theorem,"triangle, unequal, finite_straight_line, side_of_triangle, angle, corresponding, interior_angle_of_triangle, encompassing, remaining, base_of_triangle, two, subtended_by",,,triangle,,,"equals(side_of_triangle, side_of_triangle)","equals(length_of((side_of_triangle), length_of(side_of_triangle))",,,,,,
Proposition_4,,,,,,,,"equals(angle, angle)","equals(inclination_of(angle), inclination_of(angle))",,,,,SAS criterion for the congruence of triangles,
Proposition_4,,,,,,,,"corresponding(side_of_triangle, side_of_triangle)",,,,,,,
Proposition_4,,,,,,,,"corresponding(interior_angle_of_triangle, interior_angle_of_triangle)",,,,,,,
Proposition_4,,,,,,,,"encompassing(finite_straight_line, finite_straight_line, interior_angle_of_triangle)",,,,,,,
Proposition_4,,,,,,,,"equals(base_of_triangle, base_of_triangle)","equals(length_of(base_of_triangle), length_of(base_of_triangle))",,,,,,
Proposition_4,,,,,,,,"remaining(interior_angle_of_triangle, interior_angle_of_triangle)",,,,,,,
Proposition_4,,,,,,,,"subtended_by(angle, side_of_triangle, side_of_triangle)",,,,,,,
Proposition_4,,,,,,,,"equals(triangle, triangle)","has_same_shape(triangle, triangle) & has_same_dimensions(triangle, triangle)",,,,,,
Proposition_5a,theorem,"equals, at_base, angle, isosceles_triangle, interior_angle_of_triangle","|- at_base(angle, isosceles_triangle), at_base(angle, isosceles_triangle))",,isosceles_triangle,,,"at_base(interior_angle_of_triangle, isosceles_triangle)",,,,,isosceles triangles have equal angles at the base,,
Proposition_5a,,,,,,,,"equals(angle, angle)","equals(at_base(inclination_of(interior_angle_of_triangle)), at_base(inclination_of(interior_angle_of_triangle)))",,,,,,"equals(at_base(interior_angle_of_triangle, isosceles_triangle), at_base(interior_angle_of_triangle, isosceles_triangle))"
Proposition_5,theorem,"equals, at_base, angle, isosceles_triangle, under_base, interior_angle_of_triangle, extend","|- equals(at_base(angle, isosceles_triangle), at_base(angle, isosceles_triangle)) & equals(under_base(angle, isosceles_triangle), under_base(angle, isosceles_triangle))",,isosceles_triangle,,,"under_base(angle, isosceles_triangle)",,,extend(side_of_triangle)->finite_straight_line,,,,
Proposition_5,,,,,,,,"equals(angle, angle)","equals(inclination_of(angle), inclination_of(angle))",,,,,,
Proposition_5,,,,,,,,"at_base(interior_angle_of_triangle, isosceles_triangle)",,,,,,,
Proposition_6,theorem,"triangle, equals, side_of_triangle",,,"triangle, equals",,,"equals(side_of_triangle, side_of_triangle)","equals(lenght_of(side_of_triangle), lenght_of(side_of_triangle))",,,,inverse of Proposition 5a,,
Proposition_6,,,,,,,,"equals(angle, angle)","equals(inclination_of(angle), inclination_of(angle))",,,,,,
Proposition_6,,,,,,,,"subtended_by(angle, side_of_triangle, side_of_triangle)",,,,,,,
Proposition_7,theorem,"finite_straight_line, two, equals, corresponding, part, distinct, negation, construct_to_given_point",,,"finite_straight_line, two, equals, corresponding, part, distinct, negation",,,"is_placed_on(finite_straight_line, finite_straight_line)",,,"construct_to_given_point(finite_straight_line, point, point)->finite_straight_line",,,,
Proposition_7,,,,,,,,"corresponding(finite_straight_line, finite_straight_line)",,,,,,,
Proposition_7,,,,,,,,"is_on_the_same_part(finite_straight_line, finite_straight_line)",,,,,,,
Proposition_7,,,,,,,,"equals(finite_straight_line, finite_straight_line)","equals(length_of(finite_straight_line), length_of(finite_straight_line))",,,,,,
Proposition_7,,,,,,,,"corresponding(finite_straight_line, finite_straight_line)",,,,,,,
Proposition_7,,,,,,,,"distinct(point, point)",,,,,,,
Proposition_8,theorem,"two, triangle, side_of_triangle, corresponding, base_of_triangle, equals, interior_angle_of_triangle, encompassing",,,"two, triangle, side_of_triangle, corresponding, base_of_triangle, equals, interior_angle_of_triangle",,,"equals(side_of_triangle, side_of_triangle)","equals(length_of(side_of_triangle), length_of(side_of_triangle))",,,,,,
Proposition_8,,,,,,,,"corresponding(side_of_triangle, side_of_triangle)",,,,,,,
Proposition_8,,,,,,,,"corresponding(base_of_triangle, base_of_triangle)",,,,,,,
Proposition_8,,,,,,,,"equals(angle, angle)","equals(inclination_of(angle), inclination_of(angle))",,,,,,
