relation_instance,relation_instance_concepts,equivalent_to,relation_type,relation_type_concepts,synonym,notes
"are_alternate(angle, angle)",,,"are_alternate(angle, angle)",,,
"are_alternate(angle, angle)",,,,,,
"are_consecutive(angle, angle)",,,"are_consecutive(angle, angle)",,,
"are_in_a_straight_line(finite_straight_line, finite_straight_line)",,,,,,
"are_in_the_same_parallels(base_of_parallelogram, straight_line, straight_line)",,,,,,
"are_in_the_same_parallels(parallelogram, parallelogram, straight_line, straight_line)",,,,,,
"are_in_the_same_parallels(parallelogram, parallelogram, straight_line, straight_line)",,,,,,
"are_in_the_same_parallels(triangle, parallelogram, straight_line, straight_line)",,,,,,
"are_in_the_same_parallels(triangle, triangle, straight_line, straight_line)",,,,,,
"are_not_on_the_same_part(finite_straight_line, finite_straight_line)",,,,,,
"are_parallel(finite_straight_line, finite_straight_line)",,,"are_parallel(straight_line, straight_line)",,,
"are_parallel(side, side)",,,,,,
"are_parallel(straight_line, straight_line)",,,"are_parallel(straight_line, straight_line)",,,
"are_perpendicular(infinite_straight_line, finite_straight_line)",,,,,,
"are_perpendicular(infinite_straight_line, infinite_straight_line)",,,"are_perpendicular(straight_line, straight_line)",,,
"are_placed_about(complement_of_parallelogram, complement_of_parallelogram, diameter_of_parallelogram)",,,,,,
"are_same(base_of_parallelogram, base_of_parallelogram)",,,"are_same(object, object)",,,
"are_same(base_of_parallelogram, base_of_triangle)",,,,,,
"are_same(base_of_triangle, base_of_parallelogram)",,,,,,
"are_same(base_of_triangle, base_of_triangle)",,,"are_same(object, object)",,,
"are_same(base, base)",,,,,,
"are_same(interior_angle_of_triangle, interior_angle_of_triangle)",,,,,,
"are_same(part, part)",,,"are_same(object, object)",,,
"are_same(point, point)",,,"are_same(object, object)",,,
"are_same(side_of_triangle, side_of_triangle)",,,,,,
"are_same(straight_line, straight_line)",,,"are_same(object, object)",,,
"at_base(interior_angle_of_triangle, isosceles_triangle)",,,"at_base(angle, rectilinear_figure)",,,
"corresponding(angle, angle)",,,"corresponding(object, object)",,,
"corresponding(base_of_triangle, base_of_triangle)",,,"corresponding(object, object)",,,
"corresponding(finite_straight_line, finite_straight_line)",,,"corresponding(object, object)",,,
