textual_unit,conceptual_item,use_number
https://www.foom.com/core#postulate_1,https://www.foom.com/core#concept__straight_line,2
https://www.foom.com/core#postulate_1,https://www.foom.com/core#concept__figure,2
https://www.foom.com/core#postulate_2,https://www.foom.com/core#concept__straight_line,2
https://www.foom.com/core#postulate_3,https://www.foom.com/core#concept__point,2
https://www.foom.com/core#postulate_3,https://www.foom.com/core#concept__magnitude,2
https://www.foom.com/core#postulate_3,https://www.foom.com/core#concept__figure,2
https://www.foom.com/core#postulate_4,https://www.foom.com/core#concept__angle,1
https://www.foom.com/core#postulate_4,https://www.foom.com/core#concept__abstract_object,1
https://www.foom.com/core#postulate_5,https://www.foom.com/core#concept__magnitude,2
https://www.foom.com/core#postulate_5,https://www.foom.com/core#concept__abstract_object,2
https://www.foom.com/core#common_notion_2,https://www.foom.com/core#concept__abstract_object,1
https://www.foom.com/core#common_notion_3,https://www.foom.com/core#concept__abstract_object,1
https://www.foom.com/core#common_notion_8,https://www.foom.com/core#concept__greater,2
https://www.foom.com/core#common_notion_8,https://www.foom.com/core#concept__abstract_object,1
https://www.foom.com/core#definition__1,https://www.foom.com/core#concept__figure,1
https://www.foom.com/core#definition__10,https://www.foom.com/core#concept__angle,1
https://www.foom.com/core#definition__14,https://www.foom.com/core#concept__diagrammatic_object,1
https://www.foom.com/core#definition__15,https://www.foom.com/core#concept__figure,1
https://www.foom.com/core#definition__16,https://www.foom.com/core#concept__point,1
https://www.foom.com/core#definition__17,https://www.foom.com/core#concept__finite_straight_line,1
https://www.foom.com/core#definition__18,https://www.foom.com/core#concept__figure,1
https://www.foom.com/core#definition__19,https://www.foom.com/core#concept__figure,1
https://www.foom.com/core#definition__2,https://www.foom.com/core#concept__diagrammatic_object,1
https://www.foom.com/core#definition__20,https://www.foom.com/core#concept__triangle,2
https://www.foom.com/core#definition__22,https://www.foom.com/core#concept__parallelogram,1
https://www.foom.com/core#definition__4,https://www.foom.com/core#concept__line,1
https://www.foom.com/core#definition__9,https://www.foom.com/core#concept__angle,1
https://www.foom.com/core#proposition_10,https://www.foom.com/core#concept__cut,1
https://www.foom.com/core#proposition_10,https://www.foom.com/core#concept__cut_operation,1
