s,p,o
_:__import2__1__anonymous1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Ontology
http://purl.org/dc/elements/1.1/creator,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#AnnotationProperty
http://purl.org/dc/elements/1.1/date,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#AnnotationProperty
http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#AnnotationProperty
https://www.foom.com/core#uses_reductio,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#AnnotationProperty
http://www.foom.com/core#immediately_follows_textually,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.foom.com/core#immediately_follows_textually,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2002/07/owl#topObjectProperty
http://www.foom.com/core#immediately_follows_textually,http://purl.org/dc/elements/1.1/creator,https://orcid.org/0000-0002-3253-4387
http://www.foom.com/core#immediately_follows_textually,http://purl.org/dc/elements/1.1/date,2026-02-08T11:45:08Z
http://www.foom.com/core#immediately_follows_textually,http://www.w3.org/2000/01/rdf-schema#label,immediately follows textually
http://www.foom.com/core#immediately_follows_textually,http://www.w3.org/2004/02/skos/core#prefLabel,immediately follows textually
http://www.foom.com/core#is_proof_of,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.foom.com/core#is_proof_of,http://purl.org/dc/elements/1.1/creator,https://orcid.org/0000-0002-3253-4387
http://www.foom.com/core#is_proof_of,http://purl.org/dc/elements/1.1/date,2026-02-08T11:44:36Z
http://www.foom.com/core#is_proof_of,http://www.w3.org/2000/01/rdf-schema#label,is proof of
http://www.foom.com/core#is_proof_of,http://www.w3.org/2004/02/skos/core#prefLabel,is proof of
https://www.foom.com/core#contains,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
https://www.foom.com/core#contains,http://www.w3.org/2000/01/rdf-schema#label,contains
https://www.foom.com/core#contains,http://www.w3.org/2004/02/skos/core#prefLabel,contains
https://www.foom.com/core#contains_concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
https://www.foom.com/core#contains_concept,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,https://www.foom.com/core#has_relation_to_concept
https://www.foom.com/core#contains_concept,http://www.w3.org/2002/07/owl#inverseOf,https://www.foom.com/core#is_concept_in
https://www.foom.com/core#contains_concept,http://www.w3.org/2000/01/rdf-schema#label,contains concept
https://www.foom.com/core#contains_concept,http://www.w3.org/2004/02/skos/core#prefLabel,contains concept
https://www.foom.com/core#contains_definition_of,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
https://www.foom.com/core#contains_definition_of,http://www.w3.org/2000/01/rdf-schema#label,contains_definition_of
https://www.foom.com/core#contains_definition_of,http://www.w3.org/2004/02/skos/core#prefLabel,contains_definition_of
https://www.foom.com/core#defines,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
https://www.foom.com/core#defines,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,https://www.foom.com/core#has_relation_to_concept
https://www.foom.com/core#defines,http://www.w3.org/2000/01/rdf-schema#label,defines
https://www.foom.com/core#defines,http://www.w3.org/2004/02/skos/core#prefLabel,defines
https://www.foom.com/core#definition_refers_to,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
https://www.foom.com/core#definition_refers_to,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,https://www.foom.com/core#has_relation_to_concept
https://www.foom.com/core#definition_refers_to,http://www.w3.org/2000/01/rdf-schema#label,definition refers to
https://www.foom.com/core#definition_refers_to,http://www.w3.org/2004/02/skos/core#prefLabel,definition refers to
https://www.foom.com/core#has_author,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
https://www.foom.com/core#has_author,http://www.w3.org/2000/01/rdf-schema#label,has author
https://www.foom.com/core#has_author,http://www.w3.org/2004/02/skos/core#prefLabel,has author
https://www.foom.com/core#has_concept_type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
https://www.foom.com/core#has_concept_type,http://www.w3.org/2000/01/rdf-schema#label,has concept type
https://www.foom.com/core#has_concept_type,http://www.w3.org/2004/02/skos/core#prefLabel,has concept type
https://www.foom.com/core#has_definition,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
https://www.foom.com/core#has_definition,http://www.w3.org/2000/01/rdf-schema#label,has definition
https://www.foom.com/core#has_definition,http://www.w3.org/2004/02/skos/core#prefLabel,has definition
https://www.foom.com/core#has_domain,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
https://www.foom.com/core#has_domain,http://www.w3.org/2000/01/rdf-schema#label,has domain
https://www.foom.com/core#has_domain,http://www.w3.org/2004/02/skos/core#prefLabel,has domain
https://www.foom.com/core#has_gist,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
https://www.foom.com/core#has_gist,http://www.w3.org/2000/01/rdf-schema#label,has gist
https://www.foom.com/core#has_gist,http://www.w3.org/2004/02/skos/core#prefLabel,has gist
https://www.foom.com/core#has_given_concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
https://www.foom.com/core#has_given_concept,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,https://www.foom.com/core#has_relation_to_concept
https://www.foom.com/core#has_given_concept,http://www.w3.org/2000/01/rdf-schema#label,has given concept
https://www.foom.com/core#has_given_concept,http://www.w3.org/2004/02/skos/core#prefLabel,has given concept
https://www.foom.com/core#has_implication,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
https://www.foom.com/core#has_implication,http://www.w3.org/2000/01/rdf-schema#label,has implication
https://www.foom.com/core#has_implication,http://www.w3.org/2004/02/skos/core#prefLabel,has implication
https://www.foom.com/core#has_moral,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
https://www.foom.com/core#has_moral,http://www.w3.org/2000/01/rdf-schema#label,has moral
https://www.foom.com/core#has_moral,http://www.w3.org/2004/02/skos/core#prefLabel,has moral
