euclid:step1.e euclid:triangle_ABC.e rdf:type euclid:Triangle
euclid:step2.e euclid:segment_BC.e euclid:producedTo euclid:segment_BD.e
euclid:step3.e euclid:angle_ACD.e euclid:isExternalAngleOf euclid:triangle_ABC.e
euclid:step4.e euclid:angle_ABC.e euclid:isInternalAngleOf euclid:triangle_ABC.e
euclid:step5.e euclid:angle_ABC.e euclid:isOppositeTo euclid:angle_ACD.e
euclid:step6.e euclid:angle_ABC.e euclid:smallerMagnitude euclid:angle_ACD.e
euclid:step7.e euclid:angle_ACB.e euclid:isInternalAngleOf euclid:triangle_ABC.e
euclid:step8.e euclid:angle_ACB.e euclid:isAdjacentTo euclid:angle_ACD.e
euclid:step9.e euclid:sum_aACB_aABC.e euclid:smallerMagnitude euclid:sum_aACB_aACD.e
euclid:step10.e euclid:sum_aACB_aACD.e euclid:equalMagnitude euclid:sum_rightAngle_rightAngle
euclid:step11.e euclid:sum_aACB_aACB.e euclid:smallerMagnitude euclid:sum_rightAngle_rightAngle
